Building_ID,Building_Name,Latitude,Longitude,Building RSU,RFS_Status,Location Type,Total HPs,Total Spare,Actual Util Count,Util %,Final Tagging
171822,BOI Rajkamal Chs_0YT,19.23485474,72.84482309,BOI Rajkamal Chs_0YT,RFS,High-rise,80,72,8,10%,Rest
62779,Boman Behram Building_1LM,18.97079323,72.84044792,Boman Behram Building_1LM,RFS,GHS,40,25,15,38%,Rest
197821,Boman House Building_ZAH,18.93426672,72.83544393,Boman House Building_ZAH,RFS,GHS,32,26,6,19%,Rest
44677,BOMBAY BUNTS ASSOCIATION(BUNTS CENTER)_1Z0,19.05013952,73.01778693,BOMBAY BUNTS ASSOCIATION(BUNTS CENTER)_1Z0,RFS,GHS,8,8,0,0%,Zero utilised
172867,Bombay Chemical Equipments_ANO,19.1108672,72.89003189,Bombay Chemical Equipments_ANO,RFS,Flatbed,8,6,2,25%,Rest
49268,Bombay Goods Freight Carriers_1C8,19.1110321,72.86880663,Bombay Goods Freight Carriers_1C8,RFS,GHS,8,6,2,25%,Rest
172393,Bombay Gymkhana_ZAO,18.93722316,72.83087322,Bombay Gymkhana_ZAO,RFS,Flatbed,16,16,0,0%,Zero utilised
45118,Bombay Halai Ghachi Welfare Society_0C8,19.29182293,72.85541074,Bombay Halai Ghachi Welfare Society_0C8,RFS,High-rise,40,40,0,0%,Zero utilised
28268,Bombay Hub Kamala Mill_LPI,19.00436028,72.8274072,Bombay Hub Kamala Mill_LPI,RFS,GHS,32,26,6,19%,Rest
48577,Prerna Kutir_06G,19.01865154,73.03730679,Bombay industrial Agency_06G,RFS,Flatbed,8,5,3,38%,Rest
176436,Bombay Infra_NH3,19.09838818,73.01933785,Bombay Infra - Plot No A97_NH3,RFS,Flatbed,8,8,0,0%,Zero utilised
44359,BOMBAY INTERNATIONAL HOTEL_0JB,18.96789688,72.82824187,BOMBAY INTERNATIONAL HOTEL A & B_0JB,RFS,High-rise,32,31,1,3%,Rest
19196,Bombay Life Building_ZAP,18.93213276,72.83249101,Bombay Life Building_ZAP,RFS,GHS,16,7,9,56%,Rest
36888,Bombay Links Chs Ltd_SFN,19.07258504,73.00189508,Bombay Links Chs Ltd A1 Wing_SFN,RFS,GHS,16,14,2,13%,Rest
36888,Bombay Links Chs Ltd_SFN,19.07258504,73.00189508,Bombay Links Chs Ltd A2 Wing_SFN,RFS,GHS,24,20,4,17%,Rest
36888,Bombay Links Chs Ltd_SFN,19.07258504,73.00189508,Bombay Links Chs Ltd B1 Wing_SFN,RFS,GHS,16,15,1,6%,Rest
36888,Bombay Links Chs Ltd_SFN,19.07258504,73.00189508,Bombay Links Chs Ltd B2 Wing_SFN,RFS,GHS,16,15,1,6%,Rest
14387,Bombay Market Building_BCD,18.9725126,72.81427916,Bombay Market Building_BCD,RFS,High-rise,368,341,27,7%,P1
26696,Bombay Market Society_0T0,19.30656153,72.84956672,Bombay Market Society A-Wing_0T0,RFS,High-rise,32,27,5,16%,Rest
26696,Bombay Market Society_0T0,19.30656153,72.84956672,Bombay Market Society B-Wing_0T0,RFS,High-rise,32,26,6,19%,Rest
26696,Bombay Market Society_0T0,19.30656153,72.84956672,Bombay Market Society C-Wing_0T0,RFS,High-rise,48,42,6,13%,Rest
26696,Bombay Market Society_0T0,19.30656153,72.84956672,Bombay Market Society D-Wing_0T0,RFS,High-rise,48,48,0,0%,Zero utilised
49862,BOMBAY MERCANTILE CO-OP BANK LTD_MSG,18.95084255,72.83473503,BOMBAY MERCANTILE CO-OP BANK LTD_MSG,RFS,Flatbed,32,29,3,9%,Rest
196606,Bombay Mercantile Co-operative Bank_PAF,18.93475193,72.83586148,Bombay Mercantile Co-operative Bank_PAF,RFS,Flatbed,32,32,0,0%,Zero utilised
129848,Bombay Municipal Officials Chsl_2GJ,19.03635991,72.84187891,Bombay Municipal Officials Chsl_2GJ,RFS,GHS,64,63,1,2%,Rest
14006,BOMBAY MUTUAL ANNEX BUILDING_ZAG,18.93479003,72.83373009,BOMBAY MUTUAL ANNEX BUILDING_ZAG,RFS,GHS,24,6,18,75%,Rest
103011,Bombay Mutual Building_ZAG,18.93488415,72.83325195,Bombay Mutual Building Staircase-1_ZAG,RFS,GHS,32,11,21,66%,Rest
103011,Bombay Mutual Building_ZAG,18.93488415,72.83325195,Bombay Mutual Building Staircase-2_ZAG,RFS,GHS,32,17,15,47%,Rest
14005,Bombay Mutual Chamber_ZAU,18.93051083,72.83322681,Bombay Mutual Chamber_ZAU,RFS,Flatbed,40,7,33,83%,Rest
196642,Bombay Realty Springs Tower_PDE,19.0108972,72.85117469,Bombay Realty Springs Tower_PDE,RFS,High-rise,144,120,24,17%,P1
132258,Bombay Scottish School_ASX,19.11823489,72.8932456,Bombay Scottish School_ASX,RFS,GHS,8,4,4,50%,Rest
197885,BOMBAY STOCK EXCHANGE_ZAX,18.92990117,72.83322743,Bombay Stock Exchange - P J Tower_ZAX,RFS,High-rise,344,266,78,23%,P1
170446,Rotunda Building_ZAX,18.93004437,72.83363887,Bombay Stock Exchange-Rotunda Building_ZAX,RFS,High-rise,224,209,15,7%,P1
18721,Bombay Wire Complex_GOR,19.161048,72.85392484,Bombay Wire Complex_GOR,RFS,GHS,24,19,5,21%,Rest
133376,Bombino Express Pvt Ltd_ZAP,18.93248306,72.83276957,Bombino Express Pvt Ltd Bldg No- 42_ZAP,RFS,GHS,16,8,8,50%,Rest
133861,Bombino logistics_1OA,19.12111297,72.87151025,Bombino logistics Plot-X-16_1OA,RFS,GHS,8,7,1,13%,Rest
14382,Bonanza Arcade_S40,19.12872646,72.84702178,Bonanza Arcade_S40,RFS,GHS,24,19,5,21%,Rest
19650,BONANZA IND ESTATE_KNK,19.19623932,72.85878431,Bonanza Ind Estate E Wing_KNK,RFS,Flatbed,8,2,6,75%,Rest
18557,Bonanza Industrial Estate_KNK,19.19697554,72.85881846,Bonanza Industrial Estate A Wing_KNK,RFS,Flatbed,48,27,21,44%,Rest
18557,Bonanza Industrial Estate_KNK,19.19697554,72.85881846,Bonanza Industrial Estate B Wing_KNK,RFS,Flatbed,56,37,19,34%,Rest
18557,Bonanza Industrial Estate_KNK,19.19697554,72.85881846,Bonanza Industrial Estate C Wing_KNK,RFS,Flatbed,48,35,13,27%,Rest
18557,Bonanza Industrial Estate_KNK,19.19697554,72.85881846,Bonanza Industrial Estate D Wing_KNK,RFS,Flatbed,80,69,11,14%,Rest
14381,Bonzer Carnival_3K3,19.03720272,73.07530943,Bonzer Carnival Wing-A_3K3,RFS,High-rise,32,24,8,25%,Rest
14381,Bonzer Carnival_3K3,19.03720272,73.07530943,Bonzer Carnival Wing-B_3K3,RFS,High-rise,24,21,3,13%,Rest
135160,Booker India Ltd_RNK,19.22170375,72.97868831,Booker India Ltd_RNK,RFS,Flatbed,8,7,1,13%,Rest
173560,Boolani Estate Owners Premises Co-Op Society Ltd_AOX,19.13896128,72.83268545,Boolani Estate owners premises CHS_AOX,RFS,Flatbed,8,6,2,25%,Rest
103244,Boolani Estate Owners Premises Co-Op Society Ltd_AOX,19.13902845,72.83268389,Boolani Estate Owners Premises Co-Op Society Ltd_AOX,RFS,GHS,8,7,1,13%,Rest
194176,Boomerang Tower_BRA,19.11416206,72.89299908,BOOMERANG A TOWER_BRA,RFS,High-rise,64,13,51,80%,Rest
194177,Boomerang Tower_BRA,19.11360711,72.89278532,BOOMERANG B1 TOWER_BRA,RFS,High-rise,64,36,28,44%,Rest
194178,Boomerang Tower_BRA,19.11285905,72.89305673,BOOMERANG B2 TOWER_BRA,RFS,High-rise,72,14,58,81%,Rest
129786,Bootwala Building_MSJ,18.95720791,72.83558552,Bootwala Building_MSJ,RFS,GHS,16,16,0,0%,Zero utilised
132621,Borge Building_LPC,18.99758881,72.83042028,Borge Sadan_LPC,RFS,GHS,32,32,0,0%,Zero utilised
101706,Borivali Biryani Center_DAK,19.25882309,72.85936725,Borivali Biryani Center_DAK,RFS,Flatbed,8,7,1,13%,Rest
49850,Borivali Diamond CHS_BOC,19.22931684,72.8545908,Borivali Diamond CHS A Wing_BOC,RFS,High-rise,24,23,1,4%,Rest
49850,Borivali Diamond CHS_BOC,19.22931684,72.8545908,Borivali Diamond CHS B Wing_BOC,RFS,High-rise,24,19,5,21%,Rest
45223,Borivali Dwarkanath Chs_2OR,19.23429097,72.84653402,Borivali Dwarkanath Chs A-Wing_2OR,RFS,High-rise,64,33,31,48%,Rest
45223,Borivali Dwarkanath Chs_2OR,19.23429097,72.84653402,Borivali Dwarkanath Chs B-Wing_2OR,RFS,High-rise,48,17,31,65%,Rest
79391,Borivali Gulmohar Terrace CHS_BOB,19.22769176,72.85196847,Borivali Gulmohar Terrace CHSL_BOB,RFS,High-Rise,16,16,0,0%,Zero utilised
94299,Borivali Madhusudan_3P2,19.23200052,72.8391562,Borivali Madhusudan 13A_3P2,RFS,GHS,40,37,3,8%,Rest
94299,Borivali Madhusudan_3P2,19.23200052,72.8391562,Borivali Madhusudan 13B_3P2,RFS,GHS,40,36,4,10%,Rest
137157,Borivali Police Quarters_BOC,19.2296882,72.85532159,Borivali Police Quarters-A_BOC,RFS,GHS,16,15,1,6%,Rest
137157,Borivali Police Quarters_BOC,19.2296882,72.85532159,Borivali Police Quarters-B1_BOC,RFS,GHS,16,14,2,13%,Rest
137157,Borivali Police Quarters_BOC,19.2296882,72.85532159,Borivali Police Quarters-B2_BOC,RFS,GHS,16,15,1,6%,Rest
134101,Borivali Police Station_BOC,19.22956162,72.85590916,Borivali Police Station_BOC,RFS,Flatbed,8,6,2,25%,Rest
53031,Borivali Ranjaee Chs_BS0,19.22424835,72.84746211,Borivali Ranjaee Chs Wing-A_BS0,RFS,High-rise,16,13,3,19%,Rest
53031,Borivali Ranjaee Chs_BS0,19.22424835,72.84746211,Borivali Ranjaee Chs Wing-B_BS0,RFS,High-rise,32,29,3,9%,Rest
187270,Borivali Samata CHS_3A0,19.22540362,72.85125836,Borivali Samata CHS_3A0,RFS,High-rise,24,24,0,0%,Start Strong
113435,Borivali Shalimar CHS_0W1,19.24890588,72.85041957,Borivali Shalimar CHS_0W1,RFS,High-Rise,32,27,5,16%,Rest
134813,Borivali Shyam Chs_BOA,19.22289394,72.84940725,Borivali Shyam Chs_BOA,RFS,High-Rise,40,39,1,3%,Rest
44311,Borivali Shyamkrupa CHS_2OR,19.2323333,72.84488641,Borivali Shyamkrupa CHS A1 WING_2OR,RFS,GHS,8,7,1,13%,Rest
44311,Borivali Shyamkrupa CHS_2OR,19.2323333,72.84488641,Borivali Shyamkrupa CHS A2 WING_2OR,RFS,GHS,16,15,1,6%,Rest
44311,Borivali Shyamkrupa CHS_2OR,19.2323333,72.84488641,Borivali Shyamkrupa CHS B WING_2OR,RFS,GHS,16,9,7,44%,Rest
48703,Vishal Apartment_BOC,19.22812329,72.85296399,Borivali Vishal Chs_BOC,RFS,High-rise,24,15,9,38%,Rest
173963,Neebha Industries LLP_1BX,19.0469765,73.029222,Borregaard South Asia Pvt Ltd - D-159_1BX,RFS,Flatbed,8,8,0,0%,Zero utilised
47899,Bostan Apartment_JOD,19.13555917,72.84533425,Bostan Apartment A WING_JOD,RFS,High-rise,24,18,6,25%,Rest
133816,Boston House_ANT,19.11710077,72.85667809,Boston House_ANT,RFS,High-Rise,24,12,12,50%,Rest
176707,Botawala Building_BO4,18.93120683,72.83545383,Botawala Building 11/13_BO4,RFS,GHS,32,25,7,22%,Rest
200545,Botawala Building_KLT,18.94823755,72.82604274,Botawala Building 476_KLT,RFS,Flatbed,32,27,5,16%,Rest
102587,Botawala Building_BO4,18.93118342,72.83507059,"Botawala Building 71,73_BO4",RFS,GHS,24,17,7,29%,Rest
48556,BOTAWALA BUILDING_BCB,18.96661517,72.81392018,BOTAWALA BUILDING_BCB,RFS,Flatbed,24,22,2,8%,Rest
195243,Botawala Building_KLK,18.94837759,72.83108115,Botawala Building_KLK,RFS,Flatbed,32,24,8,25%,Rest
195341,Botawala Building_KLN,18.94601179,72.82828609,Botawala Building_KLN,RFS,Flatbed,96,87,9,9%,Rest
195340,Botawala_KLN,18.94562403,72.82932968,Botawala_KLN,RFS,Flatbed,32,21,11,34%,Rest
194532,Bothra Mansion_FQE,18.95683433,72.82552024,Botha Mention_FQE,RFS,Flatbed,32,28,4,13%,Rest
135863,Bothra House_KLC,18.95158583,72.82806124,Bothra House_KLC,RFS,GHS,24,2,22,92%,Rest
38386,Boulevard Cooperative Housing Society_MLC,19.17435272,72.85278164,Boulevard Cooperative Housing Society_MLC,RFS,High-rise,56,47,9,16%,Rest
9536_1A,BP Marine Academy_BEC,19.01586505,73.03874487,BP Marine Academy Plot No-58_BEC,RFS,High-rise,8,6,2,25%,Rest
100815,BPC Tower_1G7,18.96901151,72.81124169,BPC Tower-Altamount_1G7,RFS,High-rise,16,11,5,31%,Rest
100816,BPCL- Anchorage_2LZ,18.92072937,72.83271495,BPCL- Anchorage_2LZ,RFS,GHS,16,16,0,0%,Zero utilised
194783,BPCL Staff Quarters_GOE,19.17202367,72.86933092,BPCL Staff Quarters Bldg no 71/Alvania_GOE,RFS,High-rise,24,8,16,67%,Rest
194784,BPCL Staff Quarters_GOE,19.17173495,72.86916513,BPCL Staff Quarters Bldg no 72/Livina_GOE,RFS,High-rise,32,17,15,47%,Rest
55154,BPCL Staff Quarters_GOE,19.1714388,72.86916384,BPCL Staff Quarters Bldg no -73/Swagat_GOE,RFS,High-rise,24,6,18,75%,Rest
194785,BPCL Staff Quarters_GOE,19.17178868,72.86892231,BPCL Staff Quarters Bldg no 74/Malina_GOE,RFS,High-rise,32,18,14,44%,Rest
194786,BPCL Staff Quarters_GOE,19.17208779,72.8687687,BPCL Staff Quarters Bldg no 75/Nerita_GOE,RFS,High-rise,32,21,11,34%,Rest
194787,BPCL Staff Quarters_GOE,19.17243634,72.86901141,BPCL Staff Quarters Bldg no 84/Rimula_GOE,RFS,High-rise,32,17,15,47%,Rest
194788,BPCL Staff Quarters_GOE,19.1723119,72.86932474,BPCL Staff Quarters Bldg no 85/Vitrea_GOE,RFS,High-rise,32,13,19,59%,Rest
194789,BPCL Staff Quarters_GOE,19.17206937,72.86971085,BPCL Staff Quarters Bldg no 86/Tellus_GOE,RFS,High-rise,24,7,17,71%,Rest
93277,BPS AAKARSHAN_GM0,19.17511171,72.95102452,BPS AAKARSHAN_GM0,RFS,High-rise,16,13,3,19%,Rest
191750,BPS Aananda & Vardaan Co-operative Housing Society_1H5,19.17200826,72.9474807,BPS Aananda & Vardaan Co-operative Housing Society A-Wing_1H5,RFS,High-rise,40,38,2,5%,Rest
191751,BPS Aananda & Vardaan Co-operative Housing Society_1H5,19.17195083,72.94758809,BPS Aananda & Vardaan Co-operative Housing Society B-Wing_1H5,RFS,High-rise,40,38,2,5%,Rest
79469,BPS Aastha Apartment_MUF,19.17457999,72.94558256,BPS Aastha Apartment_MUF,RFS,High-rise,48,43,5,10%,Rest
135966,BPS Plaza_MUF,19.17548554,72.94606404,BPS Plaza_MUF,RFS,GHS,80,76,4,5%,Rest
191690,BPT COLONY_1EA,18.97779707,72.84257459,BPT COLONY_1EA,RFS,GHS,40,34,6,15%,Rest
196045,Brady Gladys Plaza_LPI,19.00044991,72.82808562,Brady Gladys Plaza_LPI,RFS,GHS,24,20,4,17%,Rest
43275,Brady House_ZAJ,18.93253388,72.83381676,Brady House_ZAJ,RFS,GHS,64,51,13,20%,Rest
12873,Brahans Business Park_AQY,19.12290496,72.86280415,Brahans Business Park_AQY,RFS,High-rise,24,13,11,46%,Rest
21244,Brahma C.H.S. Ltd_0EW,19.23017378,72.98051228,Brahma C.H.S. Ltd Building No 1_0EW,RFS,Flatbed,8,1,7,88%,Rest
21244,Brahma C.H.S. Ltd_0EW,19.23017378,72.98051228,Brahma C.H.S. Ltd Building No.2_0EW,RFS,Flatbed,8,6,2,25%,Rest
14349,Brahma Niwas_1P7,19.16646279,72.96553551,Brahma Niwas A-Wing_1P7,RFS,High-rise,32,22,10,31%,Rest
14349,Brahma Niwas_1P7,19.16646279,72.96553551,Brahma Niwas B-Wing_1P7,RFS,High-rise,40,26,14,35%,Rest
38390,Brahma Tower Chsl_1H5,19.1712567,72.94638575,Brahma Tower Chsl A WING_1H5,RFS,High-rise,48,47,1,2%,Rest
38390,Brahma Tower Chsl_1H5,19.1712567,72.94638575,Brahma Tower Chsl B WING_1H5,RFS,High-rise,64,63,1,2%,Rest
200291,BRAHMACHARINI CHS_1A4,19.28005583,72.86609287,BRAHMACHARINI CHS Wing-A_1A4,RFS,High-rise,40,39,1,3%,Rest
200291,BRAHMACHARINI CHS_1A4,19.28005583,72.86609287,BRAHMACHARINI CHS Wing-B_1A4,RFS,High-rise,32,31,1,3%,Rest
51741,Brahmagiri Nagri Niwara Chs_DG6,19.17252538,72.88032225,Brahmagiri Nagri Niwara Chs Wing-A_DG6,RFS,GHS,16,16,0,0%,Zero utilised
51741,Brahmagiri Nagri Niwara Chs_DG6,19.17252538,72.88032225,Brahmagiri Nagri Niwara Chs Wing-B_DG6,RFS,GHS,16,16,0,0%,Zero utilised
51741,Brahmagiri Nagri Niwara Chs_DG6,19.17252538,72.88032225,Brahmagiri Nagri Niwara Chs Wing-C_DG6,RFS,GHS,16,16,0,0%,Zero utilised
51741,Brahmagiri Nagri Niwara Chs_DG6,19.17252538,72.88032225,Brahmagiri Nagri Niwara Chs Wing-D_DG6,RFS,GHS,16,15,1,6%,Rest
39460,Brahmand D Block_0BM,19.24013945,72.9807287,Brahmand D Block D-1_0BM,RFS,High-rise,32,25,7,22%,Rest
39460,Brahmand D Block_0BM,19.24013945,72.9807287,Brahmand D Block D-2_0BM,RFS,High-rise,32,31,1,3%,Rest
39460,Brahmand D Block_0BM,19.24013945,72.9807287,Brahmand D Block D-3_0BM,RFS,High-rise,32,28,4,13%,Rest
190327,Brahmand Phase 3_0BM,19.24365664,72.98212289,"Brahmand Phase 3 CHS, B-1_0BM",RFS,High-rise,32,25,7,22%,Rest
190328,Brahmand Phase 3_0BM,19.24287367,72.98166695,"Brahmand Phase 3 CHS, B-10_0BM",RFS,High-rise,32,29,3,9%,Rest
190329,Brahmand Phase 3_0BM,19.24361977,72.98229523,"Brahmand Phase 3 CHS, B-2_0BM",RFS,High-rise,32,24,8,25%,Rest
190330,Brahmand Phase 3_0BM,19.24346275,72.98260176,"Brahmand Phase 3 CHS, B-3_0BM",RFS,High-rise,32,27,5,16%,Rest
190331,Brahmand Phase 3_0BM,19.24329185,72.98258998,"Brahmand Phase 3 CHS, B-4_0BM",RFS,High-rise,32,26,6,19%,Rest
190332,Brahmand Phase 3_0BM,19.24309165,72.98254831,"Brahmand Phase 3 CHS, B-5_0BM",RFS,High-rise,32,29,3,9%,Rest
190333,Brahmand Phase 3_0BM,19.24291908,72.98250949,"Brahmand Phase 3 CHS, B-6_0BM",RFS,High-rise,32,28,4,13%,Rest
190334,Brahmand Phase 3_0BM,19.24261562,72.98224448,"Brahmand Phase 3 CHS, B-7_0BM",RFS,High-rise,32,28,4,13%,Rest
190335,Brahmand Phase 3_0BM,19.24263588,72.98193805,"Brahmand Phase 3 CHS, B-8_0BM",RFS,High-rise,32,26,6,19%,Rest
190336,Brahmand Phase 3_0BM,19.24278706,72.98167925,"Brahmand Phase 3 CHS, B-9_0BM",RFS,High-rise,32,26,6,19%,Rest
46376,Brahmand Phase 4_0BM,19.24212193,72.98227731,Brahmand Phase 4 Chs Bldg No-C1_0BM,RFS,High-Rise,32,26,6,19%,Rest
46376,Brahmand Phase 4_0BM,19.24212193,72.98227731,Brahmand Phase 4 Chs Bldg No-C2_0BM,RFS,High-Rise,32,29,3,9%,Rest
46376,Brahmand Phase 4_0BM,19.24212193,72.98227731,Brahmand Phase 4 Chs Bldg No-C3_0BM,RFS,High-Rise,32,23,9,28%,Rest
46376,Brahmand Phase 4_0BM,19.24212193,72.98227731,Brahmand Phase 4 Chs Bldg No-C4_0BM,RFS,High-Rise,32,28,4,13%,Rest
46376,Brahmand Phase 4_0BM,19.24212193,72.98227731,Brahmand Phase 4 Chs Bldg No-C5_0BM,RFS,High-Rise,32,31,1,3%,Rest
190355,Brahmand Phase 6_0BW,19.24739229,72.985442,Brahmand Phase 6 - E-1_0BW,RFS,GHS,16,11,5,31%,Rest
190356,Brahmand Phase 6_0BW,19.24730158,72.98538103,Brahmand Phase 6 - E-2_0BW,RFS,GHS,16,12,4,25%,Rest
190357,Brahmand Phase 6_0BW,19.24706078,72.98526745,Brahmand Phase 6 - E-3_0BW,RFS,High-rise,40,31,9,23%,Rest
190358,Brahmand Phase 6_0BW,19.24694971,72.98518322,Brahmand Phase 6 - E-4_0BW,RFS,High-rise,32,25,7,22%,Rest
190359,Brahmand Phase 6_0BW,19.24680167,72.98510437,Brahmand Phase 6 - E-5_0BW,RFS,High-rise,48,44,4,8%,Rest
190360,Brahmand Phase 6_0BW,19.24670495,72.98534852,Brahmand Phase 6 - E-6_0BW,RFS,High-rise,32,31,1,3%,Rest
190361,Brahmand Phase 6_0BW,19.24693993,72.98548832,Brahmand Phase 6 - E-7_0BW,RFS,GHS,16,15,1,6%,Rest
190362,Brahmand Phase 6_0BW,19.24688937,72.98559837,Brahmand Phase 6 - E-8_0BW,RFS,GHS,16,16,0,0%,Zero utilised
45143,Brahmand Phase 6_0BW,19.24766716,72.98565239,Brahmand phase 6 - I_3 Row house_0BW,RFS,Flatbed,8,8,0,0%,Zero utilised
650570,Brahmand Phase 1_0BM,19.24085796,72.98114113,Brahmand Phase-1 Buildg-1_0BM,RFS,High-rise,32,27,5,16%,Rest
650570,Brahmand Phase 1_0BM,19.24085796,72.98114113,Brahmand Phase-1 Buildg-2_0BM,RFS,High-rise,32,31,1,3%,Rest
650570,Brahmand Phase 1_0BM,19.24085796,72.98114113,Brahmand Phase-1 Buildg-3_0BM,RFS,High-rise,32,21,11,34%,Rest
650570,Brahmand Phase 1_0BM,19.24085796,72.98114113,Brahmand Phase-1 Buildg-4_0BM,RFS,High-rise,32,28,4,13%,Rest
650570,Brahmand Phase 1_0BM,19.24085796,72.98114113,Brahmand Phase-1 Buildg-5_0BM,RFS,High-rise,32,25,7,22%,Rest
650570,Brahmand Phase 1_0BM,19.24085796,72.98114113,Brahmand Phase-1 Buildg-6_0BM,RFS,High-rise,32,26,6,19%,Rest
650570,Brahmand Phase 1_0BM,19.24085796,72.98114113,Brahmand Phase-1 Buildg-7_0BM,RFS,High-rise,32,29,3,9%,Rest
169329,Brahmand Waterfield CHS_3K3,19.036042,73.07257252,Brahmand Waterfield CHS_3K3,RFS,GHS,16,15,1,6%,Rest
63585,BRAHMANDEV CHS_PLD,19.02638097,72.84210056,BRAHMANDEV CHS A_PLD,RFS,High-rise,32,30,2,6%,Rest
63585,BRAHMANDEV CHS_PLD,19.02638097,72.84210056,BRAHMANDEV CHS B_PLD,RFS,High-rise,32,31,1,3%,Rest
63585,BRAHMANDEV CHS_PLD,19.02638097,72.84210056,BRAHMANDEV CHS C_PLD,RFS,High-rise,32,31,1,3%,Rest
63585,BRAHMANDEV CHS_PLD,19.02638097,72.84210056,BRAHMANDEV CHS D_PLD,RFS,High-rise,32,29,3,9%,Rest
193257,Brahmaputra CHS_AM7,19.27929027,72.87215843,"Brahmaputra CHS A Wing,Jangid complex_AM7",RFS,High-rise,24,16,8,33%,Rest
193258,Brahmaputra CHS_AM7,19.27927507,72.87216011,"Brahmaputra CHS B Wing,Jangid complex_AM7",RFS,High-rise,24,16,8,33%,Rest
14350,Bramha Building_TP6,19.01017265,73.03240359,Bramha Building B Wing_TP6,RFS,High-rise,80,30,50,63%,Rest
14350,Bramha Building_TP6,19.01017265,73.03240359,Bramha Building C Wing_TP6,RFS,GHS,48,31,17,35%,Rest
14350,Bramha Building_TP6,19.01017265,73.03240359,Bramha Building D wing_TP6,RFS,GHS,40,18,22,55%,Rest
129034,Bramhagiri Chsl_2EB,19.2036561,72.82490889,Bramhagiri Chsl_2EB,RFS,Flatbed,32,23,9,28%,Rest
47057,Bramhand Nayak Chs_0BM,19.24364572,72.9804411,Bramhand Nayak Chs_0BM,RFS,High-rise,96,79,17,18%,Rest
190746,Safal Complex_0HR,19.03304046,73.02516111,BRAMHAPUTRA / Bldg no 12 - Safal Complex_0HR,RFS,High-rise,24,22,2,8%,Rest
134459,Bramharaj Annex_0O2,19.14732962,72.99454777,Bramharaj Annex_0O2,RFS,High-Rise,32,25,7,22%,Rest
36397,Bramharaj Plaza_SP0,19.14262435,72.9967989,Bramharaj Plaza_SP0,RFS,High-rise,32,31,1,3%,Start Strong
173997,Bramharaj Residency_3O1,19.1435254,72.99365472,Bramharaj Residency_3O1,RFS,High-rise,32,27,5,16%,Rest
19595,Breeze CHS_2EB,19.20168714,72.82473074,Breeze CHS Bldg No 51_2EB,RFS,High-rise,96,92,4,4%,Rest
195878,Breezy Corner_KOE,19.2144524,72.84003834,Breezy Corner A1_KOE,RFS,High-rise,56,41,15,27%,Rest
195879,Breezy Corner_KOE,19.21442998,72.84007228,Breezy Corner B1_KOE,RFS,High-rise,24,21,3,13%,Rest
195880,Breezy Corner_KOE,19.2143881,72.84014256,Breezy Corner B2_KOE,RFS,High-rise,56,31,25,45%,Rest
14343,Brentford Tower_THG,19.2512216,72.98174792,"Brentford Tower A,Hiranandani Estate_THG",RFS,High-rise,32,15,17,53%,Rest
14343,Brentford Tower_THG,19.2512216,72.98174792,"Brentford Tower B,Hiranandani Estate_THG",RFS,High-rise,40,37,3,8%,Rest
14341,Brentwood_PWK,19.11870649,72.90989639,"Brentwood A-Wing,Hiranandani Gardens_PWK",RFS,High-rise,64,49,15,23%,Rest
14341,Brentwood_PWK,19.11870649,72.90989639,"Brentwood B-Wing,Hiranandani Gardens_PWK",RFS,High-rise,64,52,12,19%,Rest
LCO1512,BRh 79 Siddhi Yogeshwar_8SD,19.20585898,73.1030053,BRh 79 Siddhi Yogeshwar_8SD,RFS,GHS,8,8,0,0%,Zero utilised
111478,Bridge View CHS_0A0,19.14798238,72.98877061,Bridge View CHS Bldg No-16_0A0,RFS,GHS,16,16,0,0%,Zero utilised
111478,Bridge View CHS_0A0,19.14798238,72.98877061,Bridge View CHS Bldg No-17_0A0,RFS,GHS,16,16,0,0%,Zero utilised
111478,Bridge View CHS_0A0,19.14798238,72.98877061,Bridge View CHS Bldg No-18_0A0,RFS,GHS,16,15,1,6%,Rest
111478,Bridge View CHS_0A0,19.14798238,72.98877061,Bridge View CHS Bldg No-19_0A0,RFS,GHS,16,15,1,6%,Rest
111478,Bridge View CHS_0A0,19.14798238,72.98877061,Bridge View CHS Bldg No-20_0A0,RFS,GHS,16,16,0,0%,Zero utilised
111478,Bridge View CHS_0A0,19.14798238,72.98877061,Bridge View CHS Bldg No-21_0A0,RFS,GHS,16,14,2,13%,Rest
46283,Bridge View Cooperative Housing Society_FXA,19.04392985,73.01686985,Bridge View Cooperative Housing Society Bldg No-1_FXA,RFS,GHS,16,15,1,6%,Rest
46283,Bridge View Cooperative Housing Society_FXA,19.04392985,73.01686985,Bridge View Cooperative Housing Society Bldg No-2_FXA,RFS,GHS,16,15,1,6%,Rest
46283,Bridge View Cooperative Housing Society_FXA,19.04392985,73.01686985,Bridge View Cooperative Housing Society Bldg No-3_FXA,RFS,GHS,16,16,0,0%,Zero utilised
46283,Bridge View Cooperative Housing Society_FXA,19.04392985,73.01686985,Bridge View Cooperative Housing Society Bldg No-4_FXA,RFS,GHS,16,12,4,25%,Rest
46283,Bridge View Cooperative Housing Society_FXA,19.04392985,73.01686985,Bridge View Cooperative Housing Society Bldg No-5_FXA,RFS,GHS,16,15,1,6%,Rest
46283,Bridge View Cooperative Housing Society_FXA,19.04392985,73.01686985,Bridge View Cooperative Housing Society Bldg No-6_FXA,RFS,GHS,16,14,2,13%,Rest
